Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 1# 2 4 4# 5# 7b 7 .,111001101011,8,4.6786,C C# D F F# G# Bb B .,(L-s) (s) (L+s) (L-s) (L) (2s) (L-s) (s),10-467-3 .,Bb,Bm,Bb+,G#dim Bdim
Theoretical - No Known Name,,1 1# 2 2# 4# 5# 6 7b .,111100101110,8,4.6786,C C# D D# F# G# A Bb .,(L-s) (s) (L-s) (L+s) (L) (s) (s) (L),11-2478-3 .,D,F#m,Bb+,D#dim F#dim
Theoretical - No Known Name,,1 1# 2 2# 3 5 5# 6# .,111110011010,8,4.6786,C C# D D# E G G# A# .,(L-s) (s) (L-s) (s) (L+s) (L-s) (L) (2s),10-467-1 .,C,C#m,C+,C#dim A#dim
Harmonic Neapolitan Minor 3# s,Harmonic & Neapolitan Minor mixed,1 1# 2 2# 4 5 5# 7 .,111101011001,8,4.6786,C C# D D# F G G# B .,(L-s) (s) (L-s) (2s) (L) (L-s) (L+s) (s),10-568-2 .,G,G#m,G+,G#dim Bdim
Theoretical - No Known Name,,1 1# 2 3b 6 .,111100000100,5,4.7,C C# D Eb A .,(L-s) (s) (s) (3L) (L+s),10-2358910-4 .,,,,Adim
Messiaen Mode 4,Mode 4,1 2b 2 4 4# 5 6b 7 .,111001111001,8,4.7143,C Db D F F# G Ab B .,(s) (L-s) (L+s) (L-s) (s) (s) (2L-s) (s),11-34910-6 .,Db G,Fm Bm,,Ddim Bdim
Theoretical - No Known Name,,1 3b 5b 6b 6 7b 7 .,100100101111,7,4.7143,C Eb Gb Ab A Bb B .,(L+s) (L+s) (L) (L-s) (s) (L-s) (s),11-268911-7 .,Ab,Ebm,,Cdim Adim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5# 6 7b .,101111101110,9,4.7222,C D D# E F F# G# A Bb .,(L) (L-s) (s) (s) (L-s) (L) (s) (s) (L),11-4810-3 .,D F Bb,Dm Am,C+ Bb+,D#dim
Theoretical - No Known Name,,1 1# 2 2# 3 4 5 6 6# .,111111010110,9,4.7222,C C# D D# E F G A A# .,(L-s) (s) (L-s) (s) (s) (L) (L) (L-s) (2s),11-7810-2 .,C F A,Dm Am,F+,C#dim A#dim
Raga Sindi Bhairavi (India),,1 1# 2 2# 3 4 5 5# 6# 7 .,111111011011,10,4.7333,C C# D D# E F G G# A# B .,(L-s) (s) (L-s) (s) (s) (L) (L-s) (s) (L-s) (s),11-58-2 .,C E G,C#m Em G#m,C+ G+,C#dim G#dim A#dim Bdim
"Raga Jivantini, Gaurikriya (India",,1 2# 4# 5 6# 7 .,100100110011,6,4.7333,C D# F# G A# B .,(2L-s) (L+s) (s) (2L-s) (s) (s),10-34589-1 .,B,D#m,G+,
Raga Bauli (India),,1 2b 3 5 6b 7 .,110010011001,6,4.7333,C Db E G Ab B .,(s) (2L-s) (L+s) (s) (2L-s) (s),10-34589-6 .,C,Em,Ab+,
Raga Sohini (India),"Raga Lalita, Hamsanandi,  Lalit Bhairav",1 2b 3 4 6b 7 .,110011001001,6,4.7333,C Db E F Ab B .,(s) D(2L-s) (s) (L+s) (2L-s) (s),10-34789-6 .,Db,Fm,Ab+,
Theoretical - No Known Name,,1 3b 3 5b 6 7b .,100110100110,6,4.7333,C Eb E Gb A Bb .,(L+s) (L-s) (2s) (2L-s) (s) (L),10-23689-7 .,,Ebm Am,,Cdim Adim
Theoretical - No Known Name,,1 2# 3 4 5# 7 .,100111001001,6,4.7333,C D# E F G# B .,(2L-s) (s) (s) (2L-s) (L+s) (s),10-34589-2 .,E,G#m,C+,
Theoretical - No Known Name,,1 2# 3 4 5# 6 .,100111001100,6,4.7333,C D# E F G# A .,(2L-s) (s) (s) (2L-s) (s) (L+s),10-34789-2 .,F,Am,C+,
Theoretical - No Known Name,,1 2 4# 5# 6 6# .,101000101110,6,4.7333,C D F# G# A A# .,(L) (2L) (L) (s) (L-s) (2s),10-256810-1 .,D,,D+,
Theoretical - No Known Name,,1 2 3b 3 5b 6b .,101110101000,6,4.7333,C D Eb E Gb Ab  .,(L) (s) (L-s) (2s) (L) (2L),10-256810-7 .,Ab,,Ab+,Cdim
Theoretical - No Known Name,,1 1# 2 3  5# 6# .,111010001010,6,4.7333,C C# D E G# A# .,(L-s) (s) (L) (2L) (L) (2s),10-246710-1 .,,C#m,C+,A#dim
Theoretical - No Known Name,,1 2b 2 3b 6b 7 .,111100001001,6,4.7333,C Db D Eb Ab B .,(s) (L-s) (s) (2L+s) (2L-s) (s),10-457910-6 .,Ab,,,
Theoretical - No Known Name,,1 1# 2 2# 3 4 5 5# 6 6# .,111111011110,10,4.7333,C C# D D# E F G G# A A# .,(L-s) (s) (L-s) (s) (s) (L) (L-s) (s) (L-s) (2s),11-78-1 .,C F A,C#m Dm Am,C+ F+,C#dim A#dim
"Raga Mian Ki Malhar, Bahar (India)",Sindhura,1 2 3b 4 5 6 6# 7 .,101101010111,8,4.75,C D Eb F G A A# B .,(L) (s) (L) (L) (L) (L-s) (s) (s),13-2810111213-4 .,F G,Cm Dm,Eb+,Adim Bdim
Theoretical - No Known Name,,1 1# 2 2# 4# 5# 7b 7 .,111100101011,8,4.75,C C# D D# F# G# Bb B .,(L-s) (s) (L-s) (L+s) (L) (2s) (L-s) (s),11-2467-3 .,B,G#m Bm,Bb+,G#dim
Magen Abot (3b 2#),Magen Abot: Jewish,1 1# 3b 3 4# 6b 6 7 .,110110101101,8,4.75,C C# Eb E F# Ab A B .,(L-s) (2s) (L-s) (L) (2s) (L-s) (L) (s),11-3467-5 .,Ab A,F#m Am,Ab+,F#dim Adim
Mela Jalarnava (India),,1 1# 2 4# 5 5# 6# .,111000111010,7,4.7619,C C# D F# G G# A# .,(L-s) (s) (2L) (s) (L-s) (L) (2s),10-45610-1 .,F#,,D+,
Theoretical - No Known Name,,1 3 4 4# 6b 7b 7 .,100011101011,7,4.7619,C E F F# Ab Bb B .,(2L) (s) (L-s) (2s) (L) (L-s) (s),10-2678-5 .,,Fm,Ab+,
Theoretical - No Known Name,,1 3b 4 4# 6b 6 7 .,100101101101,7,4.7619,C Eb F F# Ab A B .,(L+s) (L) (L-s) (2s) (L-s) (L+s),10-3679-5 .,F Ab,Fm,,Adim
Theoretical - No Known Name,,1 2 2# 4# 5# 6 7 .,101100101101,7,4.7619,C D D# F# G# A B .,(L) (L-s) (L+s) (L) (s) (L) (s),9-258-1 .,D B,G#m Bm,,D#dim G#dim
Hungarian Major Inverse,,1 2 2# 4 4# 5# 6 .,101101101100,7,4.7619,C D D# F F# G# A .,(L) (L-s) (2s) (L-s) (L) (s) (L+s),10-3679-2 .,D F,Dm,,D#dim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5# .,101111101000,7,4.7619,C D D# E F F# G# .,(L) (L-s) (s) (s) (L-s) (L) (L+2s),10-3579-2 .,,,C+,
Theoretical - No Known Name,,1 1# 2# 5 6 6# 7 .,110100010111,7,4.7619,C C# D# G A A# B .,(L-s) (L) (L+2s) (L) (L-s) (s) (s),10-35679-1 .,,,G+,
Theoretical - No Known Name,,1 2b 3b 3 5 6 7b .,110110010110,7,4.7619,C Db Eb E G A Bb .,(s) (L) (L-s) (L+s) (L) (s) (L),9-258-6 .,C Eb,Cm Am,,Edim Gdim Adim
Theoretical - No Known Name,,1 2b 3b 4b 5b 7bb 7b .,110110100110,7,4.7619,C Db Eb Fb Gb Bbb Bb .,(s) (L) (s) (L) (L+s) (L-s) (L),9-369-10 .,Gb Bbb,Ebm Gbm,Bbb+,Cdim Ebdim Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 7b .,110110110010,7,4.7619,C Db Eb Fb Gb G Bb .,(s) (L) (s) (L) (L-s) (L+s) (L),9-258-9 .,Eb Gb,Cm Ebm,,Cdim Gdim Bbdim
Nohkan (Japan),Nohkan Flute scale: Japan,1 2 4 5b 6b 6 8b .,101001101101,7,4.7619,C D F Gb Ab A Cb .,(L) (L+s) (s) (L) (L-s) (2s) (L-s),10-3569-8 .,F,Dm Fm,,Ddim Fdim
Todi bVII Mela Sadvidhamargini (India),"Raga Sthavarajam,  Tivravahini",1 1# 2# 4# 5 6 6# .,110100110110,7,4.7619,C C# D# F# G A A# .,(L-s) (L) (L+s) (s) (L) (L-s) (2s),10-3569-1 .,F#,D#m F#m,,D#dim F#dim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5# 7b 7 .,101111101011,9,4.7778,C D D# E F F# G# Bb B .,(L) (L-s) (s) (s) (L-s) (L) (2s) (L-s) (s),11-4610-3 .,E Bb B,G#m Bm,C+ Bb+,G#dim Bdim
Theoretical - No Known Name,,1 1# 2 4 5# 6 6# 7 .,111001001111,8,4.7857,C C# D F G# A A# B .,(L-s) (s) (L+s) (2L-s) (s) (L-s) (s) (s),11-36811-2 .,F,Dm,F+,G#dim Bdim
Raga Malkauns,"2b s 1# Blues Pentatonic Minor, Hard Japan descending Malakosh, Raga Hindola,                  Blues Minor, Man Gong, Quan Ming, Yi Ze,                  Jiao: China",1 3b 4 5# 7b .,100101001010,5,4.8,C Eb F G# Bb .,(L+s) (L) (2L-s) (2s) (L),11-567891011-4 .,,,,
Blues #V (as 7/346/8 in 12edo),,1 3b 4 4# 7 .,100101100001,5,4.8,C Eb F F# B .,(L+s) (L) (L-s) (2L+s) (s),9-25678-4 .,,,,
Javanese Pentachord,,1 1# 2# 4# 5 .,110100110000,5,4.8,C C# D# F# G .,(L-s) (L) (L+s) (s) (2L+s),9-34569-1 .,,,,
Raga Dhavalangam (India),,1 2b 3 5b 5 6b .,110010111000,6,4.8,C Db E Gb G Ab .,(s) (2L-s) (2s) (L-s) (s) (2L),10-456910-7 .,C,,Ab+,
Theoretical - No Known Name,,1 4# 5 5# 6# 7 .,100000111011,6,4.8,C F# G G# A# B .,(3L) (s) (L-s) (L) (s) (s),10-3458910-1 .,,,,
Theoretical - No Known Name,,1 4 4# 5 5#  .,100001111100,5,4.8,C F F# G G#  .,(2L+s) (L-s) (s) (L-s) (L+2s),9-45679-2 .,,,,
Theoretical - No Known Name,,1 3 6b 7b 7 .,100010001011,5,4.8,C E Ab Bb B .,(2L) (L+2s) (L) (L-s) (s),9-24678-5 .,,,Ab+,
Theoretical - No Known Name,,1 3 5 5# 7b .,100010011010,5,4.8,C E G G# Bb .,(2L) (L+s) (L-s) (2s) (L),10-2568910-3 .,C,,C+,Edim
Theoretical - No Known Name,,1 3 5 5# 6 6# .,100010011110,6,4.8,C E G G# A A# .,(2L) (L+s) (L-s) (s) (L-s) (2s),10-367810-1 .,C,Am,C+,
Theoretical - No Known Name,,1 3 4# 5# 6# .,100010101010,5,4.8,C E F# G# A# .,(2L) (L) (L) (L) (2s),10-2346810-1 .,,,C+,
Theoretical - No Known Name,,1 3 4 4# 5# .,100011101000,5,4.8,C E F F# G# .,(2L) (s) (L-s) (L) (L+2s),9-34579-2 .,,,C+,
Theoretical - No Known Name,,1 3 5# 6# 7 .,100010001011,5,4.8,C E G# A# B .,(2L) (2L) (L) (s) (s),10-2347810-1 .,E,,C+,
Theoretical - No Known Name,,1 3b 6b 6 7 .,100100001101,5,4.8,C Eb Ab A B .,(L+s) (2L+s) (L-s) (L) (s),9-34679-5 .,Ab,,,Adim
Theoretical - No Known Name,,1 3b 3 5b 6b .,100110101000,5,4.8,C Eb E Gb Ab .,(L+s) (L-s) (2s) (L) (2L),10-2568910-7 .,Ab,,Ab+,Cdim
Theoretical - No Known Name,,1 3b 3 4 4# 6b .,100111101000,6,4.8,C Eb E F F# Ab .,(L+s) (L-s) (s) (L-s) (2s) (2L),10-367810-5 .,Ab,Fm,Ab+,
Theoretical - No Known Name,,1 2 4 4# 5# .,101001101000,5,4.8,C D F F# G# .,(L) (L+s) (L-s) (L) (L+2s),9-35679-2 .,,,,
Theoretical - No Known Name,,1 2 3 5b 7b .,101010100010,5,4.8,C D E Gb Bb .,(L) (L) (2s) (2L) (L),10-2346810-7 .,,,Gb+,
Theoretical - No Known Name,,1 2 2# 4# 5# .,101100101000,5,4.8,C D D# F# G# .,(L) (L-s) (L+s) (L) (L+2s),9-24568-1 .,,,,
Theoretical - No Known Name,,1 1# 6 6# 7 .,110000000111,5,4.8,C C# A A# B .,(L-s) (3L+2s) (L-s) (s) (s),10-2357910-1 .,,,,
Theoretical - No Known Name,,1 2b 5 6b 6 7 .,110000011101,6,4.8,C Db G Ab A B .,(s) (3L) (s) (L-s) (L) (s),10-345810-6 .,,,,
Theoretical - No Known Name,,1 1# 4# 6 6# .,110000100110,5,4.8,C C# F# A A# .,(L-s) (2L+s) (L+s) (L-s) (2s),10-2356910-1 .,F#,F#m,,F#dim
Theoretical - No Known Name,,1 1# 3 5# 6# .,110010001010,5,4.8,C C# E G# A# .,(L-s) (L+s) (2L) (L) (2s),10-2346710-1 .,,C#m,C+,A#dim
Theoretical - No Known Name,,1 1# 2# 5 6 .,110100010100,5,4.8,C C# D# G A .,(L-s) (L) (L+2s) (L) (L+s),9-35679-1 .,,,,
Theoretical - No Known Name,,1 1# 2 5# 6 #6 .,111000001110,6,4.8,C C# D G# A A# .,(L-s) (s) (3L) (s) (L-s) (2s),10-256710-1 .,,,,
Theoretical - No Known Name,,1 1# 2 4# 7b .,111000100010,5,4.8,C C# D F# Bb .,(L-s) (s) (2L) (L+2s) (L),9-24678-3 .,,,Bb+,
Theoretical - No Known Name,,1 1# 2 2# 4# 6# .,111100100010,6,4.8,C C# D D# F# A# .,(L-s) (s) (L-s) (L+s) (2L) (2s),10-24569-1 .,F#,D#m,D+,
Jeths' mode,,1 2 3b 4 5b 6 8b .,101101100101,7,4.8095,C D Eb F Gb A Cb .,(L) (s) (L) (s) (2L-s) (2s) (L-s),10-3469-8 .,F Cb,Dm,Cb+,Cdim Adim
Theoretical - No Known Name,,1 2b 5b 5 6 7b 8b .,110000110111,7,4.8095,C Db Gb G A Bb Cb .,(s) (2L+s) (L-s) (L) (s) (s) (L-s),10-45710-8 .,Gb,,,Gdim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 7bb .,110110110100,7,4.8095,C Db Eb Fb Gb G Bbb .,(s) (L) (s) (L) (L-s) (2s) (2L-s),10-3689-10 .,Bbb,Cm Gbm,Bbb+,Cdim Ebdim
Theoretical - No Known Name,,1 2b 2 3b 6b 6 7 .,111100001101,7,4.8095,C Db D Eb Ab A B .,(s) (L-s) (s) (2L+s) (L-s) (L) (s),10-45710-6 .,Ab,,,Adim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 .,111110110000,7,4.8095,C Db D Eb Fb Gb G .,(s) (L-s) (s) (s) (L) (L-s) (2L+s),10-2578-9 .,,Cm,,Cdim
Enigmatic,Verdi's Scala enigmatica,1 2b 3 4 5b 6b 7b 7 .,110011101011,8,4.8214,C Db E F Gb Ab Bb B .,(s) (2L-s) (s) (s) (L) (L) (L-s) (s),11-48910-7 .,Db Gb,Fm Bbm,Ab+,
Theoretical - No Known Name,,1 4 4# 5 5# 6 6# 7 .,100001111111,8,4.8214,C F F# G G# A A# B .,(2L+s) (L-s) (s) (L-s) (s) (L-s) (s) (s),11-46911-2 .,F,,,
Theoretical - No Known Name,,1 2# 3 4 5 6 6# 7 .,100111010111,8,4.8214,C D# E F G A A# B .,(2L-s) (s) (s) (L) (L) (s) (L-s) (s),11-48910-2 .,C F,Em Am,G+,
Theoretical - No Known Name,,1 1# 4 4# 5 5# 6 7b .,110001111110,8,4.8214,C C# F F# G G# A Bb .,(L-s) (L+2s) (L-s) (s) (L-s) (s) (s) (L),10-578-3 .,F,F#m,F+,F#dim
Theoretical - No Known Name,,1 1# 2 3b 4# 5 6b 7b .,111100111010,8,4.8214,C C# D Eb F# G Ab Bb .,(L-s) (s) (s) (2L-s) (s) (s) (L) (L),11-48910-5 .,Eb Ab,Cm Gm,Bb+,
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 8b .,111110110001,8,4.8214,C Db D Eb Fb Gb G Cb .,(s) (L-s) (s) (s) (L) (L-s) (L+2s ) (L-s),10-578-9 .,Cb,Cm,Cb+,Cdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 5 5# .,111111011000,8,4.8214,C C# D D# E F G G# .,(L-s) (s) (L-s) (s) (s) (L) (L-s) (L+2s),10-578-2 .,C,C#m,C+,C#dim
Messiaen Truncated F# Bb Eb,,1 3b 4# 7b .,100100100010,4,4.8333,C Eb F# Bb .,(L+s) (2L-s) (L+2s) (L),9-356789-4 .,,,,
Raga Haripriya (India),,1 2 4 5# .,101001001000,4,4.8333,C D F G# .,(L) (L+s) (2L-s) (L+2s),9-356789-2 .,,,,
Theoretical - No Known Name,,1 6b 7b 7 .,100000001011,4,4.8333,C Ab Bb B .,(3L+2s) (L) (L-s) (s),9-246789-5 .,,,,
Theoretical - No Known Name,,1 2# 3 4# .,100110100000,4,4.8333,C D# E F# .,(2L-s) (s) (L) (2L+2s),9-234689-1 .,,,,
Theoretical - No Known Name,,1 1# 2 2# 3 4 5# 6 6# .,111111001110,9,4.8333,C C# D D# E F G# A A# .,(L-s) (s) (L-s) (s) (s) (2L-s) (s) (L-s) (2s),11-378-2 .,F A,C#m Dm Am,C+ F+,A#dim
Theoretical - No Known Name,,1 2 6b 7 .,101000001001,4,4.8333,C D Ab B .,(L) (2L + 2s) (2L-s) (s),9-234689-5 .,,,,
Harmonic Minor Tetrachord,,1 2 3b 4# .,101100100000,4,4.8333,C D Eb F# .,(L) (s) (2L-s) (2L+2s),9-235789-4 .,,,,
Mela Hatakambari (India),Raga Jeyasuddhamalavi,1 1# 3 4 5 6# 7 .,110011010011,7,4.8571,C C# E F G A# B .,(L-s) (L+s) (s) (L) (2L-s) (s) (s),11-4581011-2 .,C,Em,,C#dim A#dim
Theoretical - No Known Name,,1 4# 5 5# 6 6# 7 .,100000111111,7,4.8571,C F# G G# A A# B .,(3L) (s) (L-s) (s) (L-s) (s) (s),10-35810-1 .,,,,
Theoretical - No Known Name,,1 3b 3 5b 6b 6 7b 7 .,100110101111,8,4.8571,C Eb E Gb Ab A Bb B .,(L+s) (L-s) (2s) (L) (L-s) (s) (L-s) (s),11-2689-7 .,Ab,Ebm Am,Ab+,Cdim Adim
Theoretical - No Known Name,,1 2# 3 4 5 5# 6 7b .,100111011110,8,4.8571,C D# E F G G# A Bb .,(2L-s) (s) (s) (L) (L-s) (s) (s) (L),11-58910-3 .,C F,Am,C+,Edim
Theoretical - No Known Name,,1 3b 3 4 4# 6b 7 .,100111101001,7,4.8571,C Eb E F F# Ab B .,(L+s) (L-s) (s) (L-s) (2s) (2L-s) (s),10-3678-5 .,Ab,Fm,Ab+,
Theoretical - No Known Name,,1 2b 5 6b 6 7b 7 .,110000011111,7,4.8571,C Db G Ab A Bb B .,(s) (3L) (s) (L-s) (s) (L-s) (s),10-35810-6 .,,,,Gdim
Theoretical - No Known Name,,1 1# 2 3b 6 7b 7 .,111100000111,7,4.8571,C C# D Eb A Bb B .,(L-s) (s) (s) (3L) (s) (L-s) (s),10-35810-4 .,,,,Adim
Theoretical - No Known Name,,1 1# 2 2# 3 6# 7 .,111110000011,7,4.8571,C C# D D# E A# B .,(L-s) (s) (L-s) (s) (3L) (s) (s),10-2479-1 .,,,,A#dim
Theoretical - No Known Name,,1 1# 2 2# 3 5 6# .,111110010010,7,4.8571,C C# D D# E G A# .,(L-s) (s) (L-s) (s) (L+s) (2L-s) (2s),10-4679-1 .,C,,,C#dim A#dim
Theoretical - No Known Name,,1 1# 2 2# 3 4 7 .,111111000001,7,4.8571,C C# D D# E F B .,(L-s) (s) (L-s) (s) (s) (3L) (s),10-35810-2 .,,,,Bdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 5# .,111111001000,7,4.8571,C C# D D# E F G# .,(L-s) (s) (L-s) (s) (s) (2L-s) (L+2s),10-3578-2 .,,C#m,C+,
Theoretical - No Known Name,,1 1# 2 3b 4# 5 6b 7b 7 .,111100111011,9,4.8611,C C# D Eb F# G Ab Bb B .,(L-s) (s) (s) (2L-s) (s) (s) (L) (L-s) (s),11-489-5 .,Eb G Ab,Cm Gm Bm,Eb+ Bb+,
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 5 6# .,111111110010,9,4.8611,C C# D D# E F F# G A# .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (2L-s) (2s),11-5710-2 .,C F#,D#m,D+,C#dim A#dim
"Messiaen Truncated Mode 2 (b2, 3b,#4)",as 9/3569/1 in 12edo,1 2b 3b 4# 5 6 .,110100110100,6,4.8667,C Db Eb F# G A .,(s) (L) (2L-s) (s) (L) (L+s),11-24581011-6 .,,Cm,,Adim
"Raga Vasanta, Chayavati (India)",,1 2b 3 4 6 7 .,110011000101,6,4.8667,C Db E F A B .,(s) (2L-s) (s) (2L) (L) (s),10-23478-6 .,F,Am,Db+,
Theoretical - No Known Name,,1 3b 5b 5 6b 7 .,100100111001,6,4.8667,C Eb Gb G Ab B .,(L+s) (L+s) (L-s) (s) (2L-s) (s),11-25691011-7 .,Ab,Cm,Eb+,Cdim
Theoretical - No Known Name,,1 1# 4# 6 7b 7 .,110000100111,6,4.8667,C C# F# A Bb B .,(L-s) (2L+s) (L+s) (s) (L-s) (s),10-2479-3 .,,F#m,,F#dim
Theoretical - No Known Name,,1 1# 2# 4 6 7 .,110101000101,6,4.8667,C C# D# F A B .,(L-s) (L) (2s) (2L) (L) (s),10-346810-2 .,F,,F+,
Theoretical - No Known Name,,1 1# 2# 4 5 6 .,110101010100,6,4.8667,C C# D# F G A .,(L-s) (L) (2s) (L) (L) (L+s),10-467810-2 .,F,,F+,
Theoretical - No Known Name,,1 2b 2 3b 4b 5b .,111110100000,6,4.8667,C Db D Eb Fb Gb .,(s) (L-s) (s) (s) (L) (3L),10-257810-9 .,,,,Cdim
Theoretical - No Known Name,,1 2 4# 6b 7b 7 .,101000101011,6,4.8667,C D F# Ab Bb B .,(L) (2L) (2s) (L) (L-s) (s),10-24589-5 .,,Bm,Bb+,
Takemitsu Tree Line Mode 2,,1 2 2# 4# 5# 6# .,101100101010,6,4.8667,C D D# F# G# A# .,(L) (L-s) (L+s) (L) (L) (2s),10-24568-1 .,,D#m,D+,
Theoretical - No Known Name,,1 1# 2# 3 4 4# .,110111100000,6,4.8667,C C# D# E F F# .,(L-s) (L) (s) (s) (L-s) (2L+2s),10-345710-2 .,,,,
Moorish Phrygian 4 # s,,1 1# 2# 3 4 5 5# 6# 7 .,110111011011,9,4.8889,C C# D# E F G G# A# B .,(L-s) (L) (s) (s) (L) (L-s) (L) (L) (s) (s),11-458-2 .,C E,C#m Em G#m,C+ G+,C#dim A#dim
Theoretical - No Known Name,,1 1# 2# 4 5# 6 6# 7 .,110101001111,8,4.8929,C C# D# F G# A A# B .,(L-s) (L) (2s) (L) (s) (L-s) (s) (s),11-3468-2 .,F,G#m,F+,
Mela Rupavati (India),,1 1# 2# 4 5 6# 7 .,110101010011,7,4.9048,C C# D# F G A# B .,(L-s) (L) (2s) (L) (2L-s) (s) (s),11-456810-2 .,,,G+,
Theoretical - No Known Name 5b s,,1 2b 2 3b 4b 5b 7bb .,111110100100,7,4.9048,C Db D Eb Fb Gb Bbb .,(s) (L-s) (s) (s) (L) (L+s) (2L-s),11-368911-10 .,Bbb,Gbm,Bbb+,Cdim Ebdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 5 5# 6# .,111111111010,10,4.9111,C C# D D# E F F# G G# A# .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (L) (2s),11-57-2 .,C F#,C#m D#m,C+ D+,C#dim A#dim
Hungarian Minor b2,,1 1# 2 3b 4# 5 6b 7 .,111100111001,8,4.9286,C C# D Eb F# G Ab B .,(L-s) (s) (s) (2L-s) (s) (s) (2L-s) (s),11-3489-5 .,G Ab,Cm Bm,Eb+,
Raga Ramkali (India),Ramakri,1 2b 3 4 5b 5 6b 7 .,110011111001,8,4.9286,C Db E F Gb G Ab B .,(s) (2L-s) (s) (s) (L-s) (s) (2L-s) (s),11-45910-7 .,C Db,Em Fm,Ab+,
Theoretical - No Known Name,,1 2# 3 4 5# 6 7b 7 .,100111001111,8,4.9286,C D# E F G# A Bb B .,(2L-s) (s) (s) (2L-s) (s) (s) (L-s) s),11-45910-3 .,E F,G#m Am,C+,
Theoretical - No Known Name,,1 2# 3 4 5 5# 6# 7 .,100111011011,8,4.9286,C D# E F G G# A# B .,(L-s) (s) (L) (L) (L-s) (L) (s) (s),11-4589-2 .,C E,Em G#m,C+ G+,
Theoretical - No Known Name,,1 1# 4 4# 6b 6 7b 7 .,110001101111,8,4.9286,C C# F F# Ab A Bb B .,(L-s) (L+2s) (L-s) (2s) (L-s) (s) (L-s) (s),11-2679-5 .,F,Fm F#m,F+,F#dim
Theoretical - No Known Name,,1 1# 2 2# 3 4 6 6# .,111111000110,8,4.9286,C C# D D# E F A A# .,(L-s) (s) (L-s) (s) (s) (2L) (L-s) (2s),11-37810-2 .,F A,Dm Am,F+,A#dim
Messiaen Mode 5 (dupe 8/456/1 in 12edo,Two-semitone Tritone scale,1 1# 2 4# 5 6b .,111000111000,6,4.9333,C C# D F# G Ab .,(L-s) (s) (2L) (s) (s) (2L),11-2348910-5 .,,,,
Messiaen Mode 5 Inverse,,1 3 4 4# 6# 7 .,100011100011,6,4.9333,C E F F# A# B .,(2L) (s) (L-s) (2L) (s) (s),11-34591011-2 .,,,,
Theoretical - No Known Name,,1 4# 5 5# 6 6# .,100000111110,6,4.9333,C F# G G# A A# .,(3L) (s) (L-s) (s) (L-s) (2s),10-356810-1 .,,,,
Theoretical - No Known Name,,1 3b 3 5b 7b 8b .,100110100011,6,4.9333,C Eb E Gb Bb Cb .,(L+s) (L-s) (2s) (2L) (s) (L-s),11-347910111-8 .,Cb,Ebm,Cb+,Cdim
equal temperaments 3 and 4 mixed,,1 3b 3 5b 6b 6 .,100110101100,6,4.9333,C Eb E Gb Ab A .,(L+s) (L-s) (2s) (L) (L-s) (L+s),10-25689-7 .,Ab,Am,Ab+,Cdim Adim
Theoretical - No Known Name,,1 2 5b 6b 7b 7 .,101000101011,6,4.9333,C D Gb Ab Bb B .,(L) (L+2s) (L) (L) (L-s) (s),11-24681011-7 .,,,Gb+,
Theoretical - No Known Name,,1 2 2# 4# 6 6# .,101100100110,6,4.9333,C D D# F# A A# .,(L) (L-s) (L+s) (L+s) (L-s) (2s),10-25689-1 .,D,D#m,D+,D#dim
Theoretical - No Known Name,,1 1# 2 2# 4 7 .,111101000001,6,4.9333,C C# D D# F B .,(L-s) (s) (L-s) (2s) (3L) (s),10-356810-3 .,,,,Bdim
Theoretical - No Known Name,,1 1# 2 2# 3 6# .,111110000010,6,4.9333,C C# D D# E A#  .,(L-s) (s) (L-s) (s) (3L) (2s),10-24679-1 .,,,,A#dim
Messiaen 4 according to Brown(3b & 456#),Tcherepnin mode 2 one of 6 variations in 12edo,1 2 3b 3 4# 5 5# 6# 7 .,101110111011,9,4.9444,C D Eb E F# G G# A# B .,(L) (s) (L) (L-s) (L)  (s) (L-s) (L) (s) (s),13-2371113-4 .,C E G,Cm Em Bm,C+ D+ Eb+,G#dim
"Verdi s  Enigmatic Descending (#1,#5,#6,#7)",as 15/234789121315/6 in 12edo,1 1# 3 4 5# 6# 7 .,110011001011,7,4.9524,C C# E F G# A# B .,(L-s) (L+s) (s) (2L-s) (L) (s) (s),11-345811-2 .,E,C#m,C+,A#dim
Mela Varunapriya (India),Viravasantham,1 2 2# 4 5 6# 7 .,101101010011,7,4.9524,C D D# F G A# B .,(L) (L-s) (2s) (L) (2L-s) (s) (s),11-568910-2 .,G,,G+,Bdim
